gene_id	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
gene_1	3.42948303601774	-0.0917274444496903	1.4132814622574	-0.0649038757666689	0.94825053468755	0.999956330866741
gene_2	8.58427334119605	-0.476424114612765	0.830398537809034	-0.573729471959075	0.566150881423613	0.999956330866741
gene_3	10.164841818172	0.27841984784328	0.80853386851698	0.344351496807376	0.730581960723897	0.999956330866741
gene_4	8.03833015122425	0.542482440917974	0.80966476226271	0.670008707556864	0.502852239363296	0.999956330866741
gene_5	7.66998094502357	1.58705339135032	1.03410862627578	1.53470665559178	0.124855900257153	0.999956330866741
gene_6	5.91267684796749	1.57943581659441	0.960501728444997	1.64438623046669	0.100096447537648	0.956529456388516
gene_7	3.86538388550896	0.0628521429911349	1.27104188586069	0.0494493090198789	0.960561233281898	0.999956330866741
gene_8	7.42520481051014	-0.0789803899328089	0.989105669082054	-0.0798503055857593	0.93635631395295	0.999956330866741
gene_9	346.777006458931	-0.596553797825879	0.226874569407432	-2.62944321782738	0.00855248132586501	0.302264644230652
gene_10	380.374638513572	0.130025750597365	0.222709546086886	0.583835551201015	0.559330957155287	0.999956330866741
gene_11	298.970142399626	0.0672820188887098	0.333425905599372	0.201790016188942	0.840080886926244	0.999956330866741
gene_12	1160.93018636826	0.0755502345014138	0.180406260176477	0.41877834187965	0.675378134690742	0.999956330866741
gene_13	321.43037947152	-0.569771033800993	0.237322102979384	-2.40083425289084	0.0163577438319271	0.440340004480438
gene_14	52.8328219100712	0.0313538769513953	0.451634911298825	0.0694230586852262	0.944652875019534	0.999956330866741
gene_15	67.8137544515155	-0.186515353544066	0.369870193321093	-0.504272463453543	0.614069925109505	0.999956330866741
gene_16	34.8889270785612	-0.119791792263748	0.447400301455623	-0.267750808110777	0.788891137934608	0.999956330866741
gene_17	547.164284077798	0.146835464106712	0.217579154164433	0.674859982200974	0.499764727267255	0.999956330866741
gene_18	28.6088152916178	0.49943354150404	0.562119327285149	0.888483133850137	0.374280924358965	0.999956330866741
gene_19	145.701330933133	-0.0262475291606453	0.292671743760356	-0.0896824846273412	0.928539535089684	0.999956330866741
gene_20	1565.24231069619	0.044782608449203	0.184097129739566	0.243255332185542	0.807807604951659	0.999956330866741
gene_21	20.0508254871556	0.480869492974422	0.556185972129435	0.864584000803448	0.387267157017514	0.999956330866741
gene_22	109.164315717108	-0.0646086252679979	0.458621490481885	-0.140875703840463	0.887968136234375	0.999956330866741
gene_23	10.9404199204928	-0.746860262535574	0.814516880779427	-0.916936505749137	0.359175913001198	0.999956330866741
gene_24	133.891333676593	-0.0234254774580363	0.279035495662268	-0.0839516040869204	0.933094910208472	0.999956330866741
gene_25	125.258739928275	0.363950236020713	0.374643401451613	0.971457750518314	0.331320382392251	0.999956330866741
gene_26	4.56698638454257	-0.011215684909477	1.28997197363113	-0.00869451828314235	0.99306286550008	0.999956330866741
gene_27	15.3737182239399	0.147928180011755	0.664592000522121	0.222584954220844	0.823858547494206	0.999956330866741
gene_28	228.251045932638	-0.125930675195923	0.325528892340749	-0.386849456865121	0.698867660947112	0.999956330866741
gene_29	1457.15705600556	0.16091550663304	0.375993148181725	0.427974571907004	0.668669633453206	0.999956330866741
gene_30	47.1616454276175	-0.197291050716754	0.460469636673724	-0.428456156505601	0.668319047343096	0.999956330866741
gene_31	397.780373745963	-0.135176800021692	0.22482571575307	-0.601251505277802	0.547672484091872	0.999956330866741
gene_32	3.31125646943986	1.98001576453347	2.09696924169186	0.944227375951384	0.345053468574955	0.999956330866741
gene_33	10.8623305385828	0.279071317188717	1.00005875272268	0.279054921952274	0.780202676495725	0.999956330866741
gene_34	1111.15097652135	-0.419133149453438	0.266033351109331	-1.57549099654497	0.115143155043929	0.992630155681157
gene_35	537.668526497951	-0.401290115121752	0.275668113526857	-1.45570015330284	0.145475527502569	0.999956330866741
gene_36	220.873516351526	-0.278798398481143	0.269393211494989	-1.03491248697011	0.300709782539034	0.999956330866741
gene_37	24.2851962227608	-0.00797573051079572	0.529668677596732	-0.0150579614165294	0.987985939086073	0.999956330866741
gene_38	16.2308393032329	0.201424759312301	0.719297133681021	0.28002997632078	0.779454506774391	0.999956330866741
gene_39	7.99169841581641	-1.16721583914415	0.845270219742789	-1.38087893301071	0.167316188457657	0.999956330866741
gene_40	35.6910687655832	0.798703562620636	0.550811904602064	1.45004774941758	0.147045204223567	0.999956330866741
gene_41	11.6100389866292	0.631203442811091	0.986513559938059	0.639832505546829	0.522281497474192	0.999956330866741
gene_42	32.0646566834633	0.0571213856527454	0.523886205900049	0.109033956247444	0.913175557689935	0.999956330866741
gene_43	26.7331118631928	-0.0349320382941068	0.645807784054862	-0.0540904571864672	0.956863095180429	0.999956330866741
gene_44	20.5942984830692	-0.335142881039824	0.658542294936291	-0.508916258859648	0.6108109229471	0.999956330866741
gene_45	55.0599196304421	-0.10663344037786	0.365654537435062	-0.291623457282538	0.770574538337475	0.999956330866741
gene_46	119.545149229746	0.0690325002013284	0.282700907415399	0.244189170924352	0.807084313603597	0.999956330866741
gene_47	93.4533241071824	0.210982928671091	0.372584555282634	0.566268584351395	0.571211213074977	0.999956330866741
gene_48	44.7150943170751	0.374880933088001	0.39019973596958	0.960741124430764	0.336682348088991	0.999956330866741
gene_49	32.7555503128042	0.0824803037656049	0.430969770136588	0.191383037699986	0.84822550839925	0.999956330866741
gene_50	68.4359190024766	0.0709848747141282	0.450277767023463	0.157646856924271	0.874735078718946	0.999956330866741
gene_51	246.40335735535	-0.258243479391724	0.302885440424049	-0.852611069816279	0.393875021741442	0.999956330866741
gene_52	18.8637166250866	0.223720979040318	0.540550765570665	0.413875982219974	0.678964934256446	0.999956330866741
gene_53	96.9217758374822	0.0328292738718998	0.350284981197638	0.0937216142115347	0.925330300190181	0.999956330866741
gene_54	181.076168175598	-0.0383842659380786	0.34387294327407	-0.111623396631953	0.911122020124621	0.999956330866741
gene_55	10.4277566292439	0.290690571391223	0.785650071528033	0.370000057183029	0.711382447792024	0.999956330866741
gene_56	41.8862120735827	-0.639678295599275	0.435469471664079	-1.46893947158878	0.141849207341226	0.999956330866741
gene_57	41.2076042509323	-0.460418466929851	0.414321145112701	-1.11125988224572	0.266456502243816	0.999956330866741
gene_58	181.39900338759	-1.04573376170605	1.53391221697638	-0.681742899060665	0.495401536209257	0.999956330866741
gene_59	8.51688958046822	-1.06934779425783	1.18296960972241	-0.903952041936869	0.366020831889971	0.999956330866741
gene_60	7.17894770494572	0.409757459997171	0.897380288843862	0.45661517763565	0.647947668039448	0.999956330866741
gene_61	8.81559261433227	-0.19335323821904	1.17777769792718	-0.164167854901083	0.869599005814992	0.999956330866741
gene_62	40.5368013270247	-0.242753706343172	0.480350088685385	-0.505368297125825	0.613300181489002	0.999956330866741
gene_63	390.653838252948	0.966641909648351	0.322186585545553	3.00025498582305	0.00269753681048105	0.144450486842771
gene_64	70.7551986206295	0.540934053841171	0.350832602536031	1.54185799703611	0.123108104800401	0.999956330866741
gene_65	66.104983051679	-0.822607029401135	0.376796434294102	-2.1831603341529	0.0290240047063601	0.589085387089132
gene_66	51.263971527575	0.294471514684539	0.424760808533462	0.693264323752555	0.488143687661716	0.999956330866741
gene_67	45.7699789594897	0.401600677896845	0.458459317135817	0.875978877266164	0.381041516916677	0.999956330866741
gene_68	32.8771988422569	0.58852969014082	0.949217892055847	0.620015377993101	0.535247662608876	0.999956330866741
gene_69	9.55499925037025	0.374773391734082	0.887452812366858	0.422302331472197	0.672804356612403	0.999956330866741
gene_70	36.5821991279322	0.699286008141557	0.773707929518867	0.903811349815699	0.366095442412678	0.999956330866741
gene_71	11.5370852384383	2.35674604296058	1.47835020485692	1.59417304182582	0.110897282762198	0.982889352599914
gene_72	6.90733044805876	-0.555026817985586	0.858524125738396	-0.646489482759987	0.517962406134446	0.999956330866741
gene_73	7.74031609115368	-0.292387983980905	1.10813431073988	-0.263856087792899	0.791890813670603	0.999956330866741
