 OTUID	ACK1	ACK2	ACK3	AP1	AP2	AP3	BCK1	BCK2	BCK3	BP1	BP2	BP3
Zotu561	1	0	1	0	0	3	0	0	0	1	0	1
Zotu538	6	0	0	0	1	0	3	0	0	0	0	2
Zotu767	8	0	0	0	0	0	0	0	0	0	0	0
Zotu285	1	0	0	6	8	46	0	0	0	0	0	0
Zotu80	8	0	0	0	0	0	12	23	5	2	35	294
Zotu19	13	184	1	0	1	2	1	4	5713	245	31	193
Zotu898	5	0	0	0	0	0	0	0	0	0	0	0
Zotu133	8	5	0	17	26	14	1	3	1	138	35	22
Zotu161	3	11	0	2	2	1	4	3	142	10	10	8
Zotu219	19	5	0	0	9	16	9	4	0	1	0	1
Zotu300	4	2	1	14	4	7	9	2	1	1	0	2
Zotu162	3	13	0	61	34	21	0	0	0	0	0	0
Zotu327	1	0	0	18	8	28	0	0	0	1	0	1
Zotu566	2	0	0	0	0	2	0	0	0	1	6	1
Zotu810	2	0	0	1	4	0	0	0	15	0	0	4
Zotu175	5	16	1	1	51	24	3	5	38	3	3	7
Zotu118	2	6	1	0	1	0	0	2	402	11	1	2
Zotu769	1	0	0	0	0	0	0	0	0	0	0	0
Zotu268	1	2	2	5	6	30	1	1	3	1	0	0
Zotu81	2	26	0	7	2	4	13	246	60	22	18	33
Zotu41	13	190	2	137	216	191	8	27	50	110	10	43
Zotu256	2	12	0	0	0	11	0	1	0	0	0	6
Zotu214	7	0	0	2	0	0	51	1	0	0	8	0
Zotu184	2	8	2	18	33	20	2	15	19	13	0	9
Zotu782	2	0	0	1	0	0	0	0	0	0	0	0
Zotu205	3	0	0	5	0	0	1	15	0	43	11	37
Zotu816	5	0	0	0	3	5	0	0	0	0	0	0
Zotu259	2	5	2	1	3	0	1	0	0	20	0	7
Zotu75	4	66	77	30	47	93	4	1	0	1	5	2
Zotu122	1	22	1	2	17	26	1	22	2	49	36	43
Zotu120	2	37	4	3	21	17	1	10	82	7	10	6
Zotu269	2	0	0	0	0	0	64	0	0	0	1	0
Zotu132	6	15	3	10	90	3	1	10	0	4	4	4
Zotu517	1	0	0	6	1	0	0	0	0	0	0	0
Zotu163	1	8	4	0	26	46	1	31	1	5	7	2
Zotu211	2	19	1	8	0	5	8	0	0	0	0	3
Zotu164	6	14	0	168	16	29	0	0	13	3	0	3
Zotu91	3	3	0	5	5	1	7	118	4	138	108	50
Zotu126	4	35	1	15	19	2	75	1	1	1	0	12
Zotu357	4	2	2	3	5	10	0	0	12	0	17	2
Zotu384	3	4	0	4	3	5	22	7	0	0	0	0
Zotu430	1	0	0	1	2	0	0	4	1	10	0	9
Zotu199	1	2	0	0	5	1	0	20	69	7	4	20
Zotu129	2	15	8	151	26	58	0	0	17	11	0	7
Zotu113	3	12	2	11	24	7	6	26	1	12	27	148
Zotu210	3	11	1	0	7	0	0	6	78	1	1	3
Zotu42	2	0	0	0	1	2	4	631	1	61	124	50
Zotu217	5	21	0	0	1	0	3	1	0	4	3	1
Zotu51	6	13	1	4	60	29	17	98	537	96	46	51
Zotu436	3	0	0	0	1	4	0	1	1	1	5	0
Zotu431	6	0	0	3	17	0	0	0	0	0	0	0
Zotu590	1	0	0	0	0	5	0	0	0	0	0	0
Zotu675	3	0	4	9	0	0	0	0	0	3	0	3
Zotu514	1	5	0	0	0	1	0	0	0	0	0	0
Zotu923	4	0	0	1	0	0	0	0	0	1	0	0
Zotu105	3	8	10	6	28	20	7	77	105	10	8	17
Zotu128	3	29	2	9	26	19	0	10	72	10	2	14
Zotu194	3	0	0	1	0	0	0	0	0	73	25	35
Zotu369	3	0	0	0	2	0	3	0	2	21	1	9
Zotu148	1	0	0	0	0	0	0	119	2	0	0	39
Zotu198	2	2	10	16	16	44	0	0	1	0	0	3
Zotu650	2	2	0	0	0	0	0	1	7	2	0	5
Zotu167	4	6	1	0	6	8	10	13	78	1	0	8
